icao,le_ident,he_ident,le_lat,le_lon,he_lat,he_lon,le_displaced_ft,he_displaced_ft
CJM6,17,35,53.10729357,-103.65035966,53.10071443,-103.65074234,0,0
CJN2,16,34,51.56305984,-101.87957484,51.55568146,-101.87847813,0,0
CJN4,08,26,49.73082194,-105.9530136,49.73117489,-105.94050696,0,0
CJN4,13,31,49.73869041,-105.94646364,49.73209739,-105.93996496,0,0
CJP2,11,29,51.92844577,-109.13399591,51.92463623,-109.12448449,0,0
CJP2,17,35,51.92935403,-109.13226397,51.92498197,-109.132884,0,0
CJP6,06,24,59.60800864,-109.27437772,59.60977336,-109.25926828,0,0
CJP9,04,22,59.59907767,-109.1439583,59.60292633,-109.1276477,0,0
CJQ2,11,29,49.37285919,-102.76550869,49.36875436,-102.75436887,0,0
CJQ3,11,29,49.64610656,-102.2938758,49.64197842,-102.27814471,0,358
CJQ4,06,24,49.8955036,-109.48225267,49.89796916,-109.46973348,0.0,0.0
CJQ4,17,35,49.89922008,-109.47355854,49.89396205,-109.47470066,0.0,0.0
CJQ6,03,21,81.40449581,-76.88234201,81.41367645,-76.85337874,0.0,0.0
CJQ9,18,36,57.625623,-99.874812,57.614057,-99.873942,0,0
CJR2,10,28,52.07167717,-109.38053213,52.06746867,-109.36902899,0,0
CJR4,11,29,51.14640045,-108.76799774,51.14189911,-108.75700378,0.0,0.0
CJR4,16,34,51.14670181,-108.76799774,51.14139938,-108.76699829,0.0,0.0
CJR7,17,35,51.62865136,-102.44986591,51.61932664,-102.45012809,0,0
CJR9,08,26,52.411388,-104.49074459,52.41139125,-104.47833501,0,0
CJS2,18,36,56.95572541,-102.23704732,56.94316259,-102.24028468,0,0
CJS3,16,34,58.39779637,-109.51524813,58.38331563,-109.51476587,0,0
CJS4,13,31,50.43758015,-105.39224255,50.429806,-105.380028,0.0,0.0
CJT4,10,28,53.95730778,-102.30483618,53.95487003,-102.29174364,0,0
CJT5,08,26,49.26276281,-101.01712969,49.26295381,-101.00872169,0,0
CJT5,17,35,49.26540516,-101.01249381,49.25923316,-101.01249381,0,0
CJT9,12,30,53.62158231,-107.61571563,53.61676769,-107.60814637,0,0
CJT9,16,34,53.62465923,-107.61471537,53.61533877,-107.61416663,0,0
CJU4,10,28,52.17703514,-105.1387398,52.17415414,-105.12856272,0,0
